河南移动,#genre#
CCTV1HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226304/index.m3u8?stbId=10&channel-id=ystenlive
CCTV1HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8?stbId=10&channel-id=ystenlive
CCTV1HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226498/index.m3u8?stbId=10&channel-id=ystenlive
CCTV2HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226306/index.m3u8?stbId=10&channel-id=ystenlive
CCTV2HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226466/index.m3u8?stbId=10&channel-id=ystenlive
CCTV2HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226503/index.m3u8?stbId=10&channel-id=ystenlive
CCTV3HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226461/index.m3u8?stbId=10&channel-id=ystenlive
CCTV3HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226308/index.m3u8?stbId=10&channel-id=ystenlive
CCTV3HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226505/index.m3u8?stbId=10&channel-id=ystenlive
CCTV4HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226303/index.m3u8?stbId=10&channel-id=ystenlive
CCTV4HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226468/index.m3u8?stbId=10&channel-id=ystenlive
CCTV4HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226500/index.m3u8?stbId=10&channel-id=ystenlive
CCTV5HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226487/index.m3u8?stbId=10&channel-id=ystenlive
CCTV5HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226305/index.m3u8?stbId=10&channel-id=ystenlive
CCTV5+HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8?stbId=10&channel-id=ystenlive
CCTV6HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226485/index.m3u8?stbId=10&channel-id=ystenlive
CCTV7HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226486/index.m3u8?stbId=10&channel-id=ystenlive
CCTV8HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226484/index.m3u8?stbId=10&channel-id=ystenlive
CCTV9HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226482/index.m3u8?stbId=10&channel-id=ystenlive
CCTV10HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226483/index.m3u8?stbId=10&channel-id=ystenlive
CCTV11HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226481/index.m3u8?stbId=10&channel-id=ystenlive
CCTV12HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226479/index.m3u8?stbId=10&channel-id=ystenlive
CCTV13HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8?stbId=10&channel-id=ystenlive
CCTV14HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226475/index.m3u8?stbId=10&channel-id=ystenlive
CCTV15HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226478/index.m3u8?stbId=10&channel-id=ystenlive
CCTV16HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226597/index.m3u8?stbId=10&channel-id=ystenlive
CCTV17HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8?stbId=10&channel-id=ystenlive
CETV1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226471/index.m3u8?stbId=10&channel-id=ystenlive
CGTN,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8?stbId=10&channel-id=ystenlive
河南卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226502/index.m3u8?stbId=10&channel-id=ystenlive
河南卫视HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226463/index.m3u8?stbId=10&channel-id=ystenlive
河南都市频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226511/index.m3u8?stbId=10&channel-id=ystenlive
河南都市频道HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226430/index.m3u8?stbId=10&channel-id=ystenlive
河南民生频道HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8?stbId=10&channel-id=ystenlive
河南国际频道HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226434/index.m3u8?stbId=10&channel-id=ystenlive
河南法治频道HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226435/index.m3u8?stbId=10&channel-id=ystenlive
河南欢腾购物,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226432/index.m3u8?stbId=10&channel-id=ystenlive
河南戏曲频道HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226436/index.m3u8?stbId=10&channel-id=ystenlive
河南电视剧频道HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226437/index.m3u8?stbId=10&channel-id=ystenlive
河南梨园,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226438/index.m3u8?stbId=10&channel-id=ystenlive
河南新闻频道HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8?stbId=10&channel-id=ystenlive
河南武术频道HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226440/index.m3u8?stbId=10&channel-id=ystenlive
河南公共频道HD,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226441/index.m3u8?stbId=10&channel-id=ystenlive
风尚河南,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226446/index.m3u8?stbId=10&channel-id=ystenlive
美食汇,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8?stbId=10&channel-id=ystenlive
河南乡村频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226443/index.m3u8?stbId=10&channel-id=ystenlive
调解剧场,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8?stbId=10&channel-id=ystenlive
河南睛彩中原,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8?stbId=10&channel-id=ystenlive
河南文宝,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226447/index.m3u8?stbId=10&channel-id=ystenlive
